"id_plot","yr_measured","lat","lon","ers","drainage","disturbance","cover_type","soil","age_stand","annual_pp","annual_mean_temp","annual_min_temp","annual_max_temp"
7000603902,2003,-70.367765,46.963937,NA,30,NA,"F","1AY","3030",1250,2.49,-2.9,7.88
7100600301,2003,-71.668515,46.899884,0.486148896772406,31,NA,"F","1AY","VIN",1435,2.72,-2.36,7.81
7100806901,1992,-76.116203,46.016282,NA,30,NA,"M","1A","70",1034,3.29,-2.55,9.12
7109401702,1994,-77.016493,46.215754,NA,30,NA,"F","1AY","90",904,3.52,-2.36,9.4
7200501802,2003,-79.271802,47.166807,NA,30,NA,"M","1AY","5050",971,2.75,-2.71,8.23
7209003602,2003,-77.462549,46.563572,0.997440744949655,30,NA,"F","1A","VIN",1035,2.82,-2.78,8.43
7209304501,1997,-78.150581,47.033159,NA,30,NA,"M","1A","10",947,1.91,-4.23,8.06
7209501902,1993,-76.876685,46.848433,NA,30,NA,"R","M1A","30",1018,2.07,-3.84,7.98
7209603502,1993,-77.126231,46.917057,NA,30,NA,"M","1AY","VIN",1001,1.94,-3.95,7.84
7300801102,1998,-74.731479,48.153873,NA,40,NA,"M","1A","50",965,2.86,-2.89,8.62
7301102302,2003,-57.410711,51.870683,NA,30,NA,"R","1A","70",1080,1.27,-2.78,5.32
7309802102,2006,-74.847582,47.254545,NA,30,NA,"R","1AY","70",1251,4.31,-1.03,9.65
7309803702,1997,-74.698851,47.470888,NA,31,NA,"M","1A","70",1060,0.52,-5.77,6.82
7501001901,2007,-75.565541,48.383245,NA,40,NA,"M","1A","JIN",927,1.45,-4.25,7.16
7501402102,2005,-79.253924,48.263307,NA,40,NA,"F","4GA","70",719,2.64,-3.53,8.81
7506900401,2003,-66.515935,48.250006,NA,20,NA,"M","8AY","10",1097,2.06,-2.95,7.07
7509400301,2007,-76.432021,48.583677,NA,30,NA,"M","1A","10",899,1.38,-4.32,7.08
7601100502,2003,-66.034953,48.252438,0.0822319731058762,31,NA,"M","8A","VIN",1052,3.08,-1.91,8.06
7601804201,1997,-74.398394,46.016387,0.706189187822489,30,NA,"F","1AY","VIN",1126,2.4,-3.33,8.14
7607901101,2010,-72.850072,46.94997,0.0219283167220568,20,NA,"M","1AY","JIN",1080,5.6,0.17,11.02
7608501501,1997,-73.449536,46.800351,NA,30,NA,"R","1AM","30",988,1.49,-4.63,7.6
7608803002,1997,-74.321437,46.55465,1.17638272090548,30,NA,"F","1A","JIN",1029,1.45,-4.85,7.75
7609507502,2003,-71.895039,47.424698,NA,20,NA,"M","1AM","50",1305,1.17,-4.01,6.36
7609507701,2007,-72.200809,47.452182,NA,30,NA,"R","1A","30",1128,2.26,-3.31,7.83
7609509002,2007,-72.495606,47.504681,NA,30,NA,"M","4GS","50",1096,2,-3.68,7.67
7609610302,1998,-73.578718,47.786037,NA,30,NA,"F","1A","90",966,3.37,-2.37,9.11
7609801202,1997,-65.961176,48.518129,NA,30,NA,"M","8AY","10",989,0.54,-3.91,5
7709802001,2001,-63.981644,50.966585,NA,30,NA,"R","1A","120",1071,-0.17,-4.69,4.36
8809400201,1994,-76.599777,45.78262,NA,30,NA,"R","2BE","30",860,4.29,-1.64,10.21
8809402002,1997,-72.683377,46.794858,0.345771541435727,20,NA,"M","1AY","JIN",963,2.7,-3.09,8.5
8809409202,1995,-72.86646,48.074699,NA,20,NA,"R","2BE","70",945,2.04,-3.77,7.85
8901901001,2001,-66.565218,50.949651,NA,30,NA,"R","1AY","VIN",927,1.14,-3.8,6.09
8902103002,2001,-66.110436,52.017797,NA,30,NA,"R","1A","120",938,-1.04,-6,3.92
8909205702,2005,-64.760479,48.520672,NA,30,NA,"R","8AY","JIN",1174,3.08,-1.25,7.41
9003203301,2010,0,0,NA,30,NA,"R","1AY","10",760,1.9,-2.92,6.73
9003300401,1999,-75.778708,50.554503,NA,40,NA,"R","4GS","70",977,1.05,-4.59,6.69
9003401202,1999,-73.948849,50.995501,NA,30,NA,"R","1A","120",989,0.51,-4.99,6.01
9100303602,2001,-68.298935,51.586919,NA,40,NA,"R","1A","VIN",883,0.21,-4.93,5.36
9109605801,2003,-75.89826,46.569026,NA,30,NA,"R","1A","10",1085,3.56,-2.44,9.57
9109607001,1997,-72.306435,46.797063,0.122149049362388,30,NA,"M","5S","JIN",995,3.17,-2.47,8.8
9109614802,1999,-68.401239,49.329658,NA,20,NA,"M","1AM","30",995,3.16,-1.63,7.95
9203204002,1992,-70.001909,48.720481,NA,30,NA,"F","1A","30",1270,-0.75,-5.77,4.28
9203409001,2003,-70.704316,47.716352,NA,30,NA,"R","1AY","VIN",1286,-0.04,-4.96,4.88
9203802402,1992,-70.886021,47.428048,NA,30,NA,"R","1AY","50",1404,-0.85,-5.97,4.27
9204400201,1992,-73.900878,48.499942,NA,30,NA,"R","1A","30",994,-0.53,-6.58,5.53
9204405102,1992,-75.007225,48.934316,NA,20,NA,"R","4GS","90",1006,-1.11,-7.06,4.84
9204502201,1992,-76.815756,48.633745,NA,30,NA,"R","1A","70",944,-0.39,-6.29,5.51
9204505302,2007,-75.916206,48.946025,NA,20,NA,"F","1A","90",927,0.9,-4.82,6.63
9204601102,1992,-75.682581,49.353797,NA,30,NA,"R","4GS","50",971,-0.97,-6.78,4.84
9204800101,2010,-73.333347,49.883369,NA,30,NA,"R","R1A","120",925,2.74,-2.43,7.92
