state1,state2,interval,type,drainage1,disturbance1,cover_type1,soil1,age1,drainage2,disturbance2,cover_type2,soil2,age2,precip,mean_temp,max_temp,min_temp,id,longitude,latitude
0,0,11,Absent,NA,NA,NA,NA,NA,NA,NA,R,NA,50,979.0,2.0100000000000002,7.0649999999999995,-3.05,7501109102,-67.095221,48.634312
0,0,9,Absent,NA,NA,R,NA,50,30,NA,R,1A,30,1144.5,2.045,6.9399999999999995,-2.85,7501109102,-67.095221,48.634312
0,0,8,Absent,30,NA,R,1A,30,30,NA,R,1A,50,1077.5,2.425,7.35,-2.5,7501109102,-67.095221,48.634312
0,0,10,Absent,NA,NA,R,NA,90,NA,NA,R,NA,120,1201.5,0.5249999999999999,5.585,-4.54,7601101001,-66.680381,48.570172
0,0,11,Absent,NA,NA,R,NA,120,40,NA,R,8A,30,1093.5,0.37,5.175,-4.445,7601101001,-66.680381,48.570172
0,0,6,Absent,40,NA,R,8A,30,40,NA,R,8A,30,1039.0,0.805,5.51,-3.9050000000000002,7601101001,-66.680381,48.570172
0,0,7,Absent,NA,NA,NA,NA,NA,NA,CP,M,NA,10,1093.0,2.4850000000000003,8.629999999999999,-3.665,7601504702,-75.016724,46.537823
0,0,14,Absent,NA,CP,M,NA,10,40,NA,R,1A,30,1026.0,2.745,8.879999999999999,-3.395,7601504702,-75.016724,46.537823
0,0,9,Absent,40,NA,R,1A,30,40,NA,M,1A,30,1154.0,3.525,9.41,-2.3600000000000003,7601504702,-75.016724,46.537823
0,0,11,Absent,NA,CP,F,NA,70,NA,NA,NA,NA,NA,996.5,1.7999999999999998,6.86,-3.26,7501109101,-67.100495,48.633122
0,0,9,Absent,NA,NA,NA,NA,NA,30,NA,NA,1A,NA,1163.5,1.835,6.73,-3.0549999999999997,7501109101,-67.100495,48.633122
0,0,8,Absent,30,NA,NA,1A,NA,30,NA,R,1A,10,1091.5,2.23,7.135,-2.675,7501109101,-67.100495,48.633122
1,1,8,Present,NA,NA,F,NA,50,NA,NA,F,NA,50,1050.0,3.935,9.530000000000001,-1.665,7601601402,-75.543614,45.698974
